(ep: 9, it: 13024, t: 0.003[s], ept: 0.01/0.05[h]) loss_total: 0.481, acc_r: 0.540
(ep: 9, it: 18024, t: 0.003[s], ept: 0.01/0.05[h]) loss_total: 0.541, acc_r: 0.560
(ep: 9, it: 23024, t: 0.003[s], ept: 0.01/0.05[h]) loss_total: 0.549, acc_r: 0.580
(ep: 9, it: 28024, t: 0.003[s], ept: 0.02/0.05[h]) loss_total: 0.550, acc_r: 0.560
(ep: 9, it: 33024, t: 0.003[s], ept: 0.02/0.05[h]) loss_total: 0.440, acc_r: 0.460
(ep: 9, it: 38024, t: 0.003[s], ept: 0.02/0.05[h]) loss_total: 0.568, acc_r: 0.560
(ep: 9, it: 43024, t: 0.003[s], ept: 0.03/0.05[h]) loss_total: 0.544, acc_r: 0.500
(ep: 9, it: 48024, t: 0.003[s], ept: 0.03/0.05[h]) loss_total: 0.503, acc_r: 0.420
(ep: 9, it: 53024, t: 0.003[s], ept: 0.03/0.05[h]) loss_total: 0.499, acc_r: 0.520
(ep: 9, it: 58024, t: 0.003[s], ept: 0.04/0.05[h]) loss_total: 0.586, acc_r: 0.600
(ep: 9, it: 63024, t: 0.003[s], ept: 0.04/0.05[h]) loss_total: 0.534, acc_r: 0.540
(ep: 9, it: 68024, t: 0.003[s], ept: 0.04/0.05[h]) loss_total: 0.548, acc_r: 0.540
(ep: 9, it: 73024, t: 0.003[s], ept: 0.05/0.05[h]) loss_total: 0.485, acc_r: 0.600
(ep: 9, it: 78024, t: 0.003[s], ept: 0.05/0.05[h]) loss_total: 0.529, acc_r: 0.540
(ep: 10, it: 277, t: 0.003[s], ept: 0.00/0.23[h]) loss_total: 0.535, acc_r: 0.580
(ep: 10, it: 5277, t: 0.003[s], ept: 0.00/0.06[h]) loss_total: 0.547, acc_r: 0.520
(ep: 10, it: 10277, t: 0.003[s], ept: 0.01/0.06[h]) loss_total: 0.516, acc_r: 0.520
(ep: 10, it: 15277, t: 0.003[s], ept: 0.01/0.05[h]) loss_total: 0.515, acc_r: 0.500
(ep: 10, it: 20277, t: 0.003[s], ept: 0.01/0.05[h]) loss_total: 0.503, acc_r: 0.560
(ep: 10, it: 25277, t: 0.003[s], ept: 0.02/0.05[h]) loss_total: 0.525, acc_r: 0.640
(ep: 10, it: 30277, t: 0.003[s], ept: 0.02/0.05[h]) loss_total: 0.545, acc_r: 0.540
(ep: 10, it: 35277, t: 0.003[s], ept: 0.02/0.05[h]) loss_total: 0.520, acc_r: 0.520
(ep: 10, it: 40277, t: 0.003[s], ept: 0.03/0.05[h]) loss_total: 0.542, acc_r: 0.580
(ep: 10, it: 45277, t: 0.003[s], ept: 0.03/0.05[h]) loss_total: 0.503, acc_r: 0.540
(ep: 10, it: 50277, t: 0.003[s], ept: 0.03/0.05[h]) loss_total: 0.485, acc_r: 0.440
(ep: 10, it: 55277, t: 0.003[s], ept: 0.04/0.05[h]) loss_total: 0.492, acc_r: 0.560
(ep: 10, it: 60277, t: 0.003[s], ept: 0.04/0.05[h]) loss_total: 0.547, acc_r: 0.520
(ep: 10, it: 65277, t: 0.003[s], ept: 0.04/0.05[h]) loss_total: 0.499, acc_r: 0.580
(ep: 10, it: 70277, t: 0.003[s], ept: 0.04/0.05[h]) loss_total: 0.507, acc_r: 0.400
(ep: 10, it: 75277, t: 0.003[s], ept: 0.05/0.05[h]) loss_total: 0.566, acc_r: 0.580
(ep: 10, it: 80277, t: 0.003[s], ept: 0.05/0.05[h]) loss_total: 0.547, acc_r: 0.560
